mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,param_l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1250317096710205,0.05255874834531925,0.01239619255065918,0.007253070375062707,1000.0,l2,newton-cg,,"{'C': np.float64(1000.0), 'penalty': 'l2', 'solver': 'newton-cg'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.1520731925964356,0.0645883290172864,0.008661365509033203,0.0037030310606003887,1000.0,l2,sag,,"{'C': np.float64(1000.0), 'penalty': 'l2', 'solver': 'sag'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.11196441650390625,0.05381125321005349,0.01811952590942383,0.019145418306148805,10000.0,l2,lbfgs,,"{'C': np.float64(10000.0), 'penalty': 'l2', 'solver': 'lbfgs'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.10186600685119629,0.020740711342132904,0.0109405517578125,0.0037152762759720716,10000.0,l2,newton-cg,,"{'C': np.float64(10000.0), 'penalty': 'l2', 'solver': 'newton-cg'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0223190307617187,0.08189912213189976,0.012748622894287109,0.007709432338941758,10000.0,l2,sag,,"{'C': np.float64(10000.0), 'penalty': 'l2', 'solver': 'sag'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.01977200508117676,0.0019687284631733173,0.009611749649047851,0.0017761487793553602,0.0001,l1,liblinear,,"{'C': np.float64(0.0001), 'penalty': 'l1', 'solver': 'liblinear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.035777044296264646,0.009344414101115117,0.008673143386840821,0.0023031433935863837,0.0001,l2,liblinear,,"{'C': np.float64(0.0001), 'penalty': 'l2', 'solver': 'liblinear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.028058528900146484,0.005809626386163125,0.007765960693359375,0.0020655002251516916,0.001,l1,liblinear,,"{'C': np.float64(0.001), 'penalty': 'l1', 'solver': 'liblinear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.046523666381835936,0.01259296310934269,0.007657432556152343,0.0024110991821401505,0.001,l2,liblinear,,"{'C': np.float64(0.001), 'penalty': 'l2', 'solver': 'liblinear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.044762372970581055,0.009161148450002444,0.012400436401367187,0.0036952735943292137,0.01,l1,liblinear,,"{'C': np.float64(0.01), 'penalty': 'l1', 'solver': 'liblinear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
